"nombre_carrera","fecha_inscripcion","anio_inscripcion","sexo","pais_nacionalidad","tipo_inscripcion","correlativo_estudiante"
INGENIERIA CIVIL,2020-11-15,"2021",M,GUATEMALA,REINGRESO,c59fb64d388faa0203006cfbf1d608dd
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-15,"2021",F,GUATEMALA,REINGRESO,"6c2af3e5d80ee365b0c93ccb261601bf"
INGENIERIA INDUSTRIAL,2020-11-15,"2021",M,GUATEMALA,REINGRESO,"560efd10c89ff5211a79f5d4b93e40e0"
INGENIERIA CIVIL,2020-11-17,"2021",M,GUATEMALA,REINGRESO,"0f12db77202714f6281fb30db118621d"
INGENIERIA ELECTRONICA,2020-11-17,"2021",M,GUATEMALA,REINGRESO,eb184192a01bc34ca1d029dadee64296
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-17,"2021",M,GUATEMALA,REINGRESO,b5cc9654ead44c8ec54cfa4041e061c8
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-17,"2021",M,GUATEMALA,REINGRESO,ccf8ae892fd48a690eaba15cc9f08f27
INGENIERIA MECANICA INDUSTRIAL,2020-11-17,"2021",M,GUATEMALA,REINGRESO,"821534e02df85df5e624972d42263ee6"
INGENIERIA AMBIENTAL,2020-11-18,"2021",F,GUATEMALA,REINGRESO,"9fcb59c237ea4700caf8ab527cfddf98"
INGENIERIA CIVIL,2020-11-18,"2021",M,GUATEMALA,REINGRESO,"6ac7a9c43c7f968a6657d799f1d13e57"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-18,"2021",M,GUATEMALA,REINGRESO,d762d78cfe42340f61e4824340abb7e5
INGENIERIA INDUSTRIAL,2020-11-18,"2021",F,GUATEMALA,REINGRESO,d9a1228bccc606ac07c246ae02a47f0c
INGENIERIA INDUSTRIAL,2020-11-18,"2021",M,GUATEMALA,REINGRESO,cf218cdb407efdb801e8545f02fedded
INGENIERIA MECANICA INDUSTRIAL,2020-11-18,"2021",F,GUATEMALA,REINGRESO,a3339eca160fbf7f11588328dea557d2
INGENIERIA QUIMICA,2020-11-18,"2021",F,GUATEMALA,REINGRESO,ac6fd454649d04bfe8507b8b21bb854d
INGENIERIA QUIMICA,2020-11-18,"2021",F,GUATEMALA,REINGRESO,bd24a98828528d7b622358b7af5f84c8
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-19,"2021",M,GUATEMALA,REINGRESO,"0686f70b1f4e6927e1cc9d8eb6297b92"
INGENIERIA INDUSTRIAL,2020-11-19,"2021",F,GUATEMALA,REINGRESO,a5b67e7a61926e3a78ad3dd0cba30332
INGENIERIA INDUSTRIAL,2020-11-19,"2021",M,GUATEMALA,REINGRESO,ab5d8fb0ebf8f3f9e1f3cd5d0aa306ab
INGENIERIA QUIMICA,2020-11-19,"2021",F,GUATEMALA,REINGRESO,"4d229cbbbf206c2be1d5d879c19668b8"
INGENIERIA AMBIENTAL,2020-11-20,"2021",F,GUATEMALA,REINGRESO,e7981ac848217794f411742903d85497
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-20,"2021",F,GUATEMALA,REINGRESO,"3a3c0a1c8bb321a6495432ecf0d655dc"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-20,"2021",M,GUATEMALA,REINGRESO,dc1d08e2f080b1ead7614ebbf7cad95b
INGENIERIA MECANICA,2020-11-20,"2021",M,GUATEMALA,REINGRESO,f3504569e0ca1b93180b323ecb9f71de
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-21,"2021",M,GUATEMALA,REINGRESO,"2601b9b729a78faa2599d366355482d2"
INGENIERIA MECANICA,2020-11-21,"2021",F,GUATEMALA,REINGRESO,"4be067fedcd685d30cf4bf4c30702c86"
INGENIERIA QUIMICA,2020-11-21,"2021",F,GUATEMALA,REINGRESO,"8dd26c7a5b88ae04269d0003424e2f3d"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-22,"2021",F,GUATEMALA,REINGRESO,"5fc72a741397289426c2f303135d7b3d"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-22,"2021",F,GUATEMALA,REINGRESO,"7e1a614edf1da36e0300ecba107c0089"
INGENIERIA INDUSTRIAL,2020-11-22,"2021",F,GUATEMALA,REINGRESO,"5cec358d202d2e6283df0eb013f216ec"
INGENIERIA CIVIL,2020-11-23,"2021",M,GUATEMALA,REINGRESO,"27e9081fc7e4e0f6913eda5b22472ba7"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-23,"2021",F,GUATEMALA,REINGRESO,d4b07b9305cd27a74e4fd8181f07da21
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-23,"2021",M,GUATEMALA,REINGRESO,"1ef173f9412bd1ea51fd7141a0c6ec07"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-23,"2021",M,GUATEMALA,REINGRESO,"4dac4c7524e3c5a771eeaf6c93243604"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-23,"2021",M,GUATEMALA,REINGRESO,"9f3ccd77b8e5206a2b7ad5d937445a1e"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-23,"2021",M,GUATEMALA,REINGRESO,e4180d01392e067d1c38b6e1c9202a8f
INGENIERIA INDUSTRIAL,2020-11-23,"2021",M,GUATEMALA,REINGRESO,"955b8404ad0de0bd330ed639f83c62b3"
INGENIERIA CIVIL,2020-11-24,"2021",M,GUATEMALA,REINGRESO,"12ae5e8bf1c715a4ef0a440e2e3268f4"
INGENIERIA ELECTRONICA,2020-11-24,"2021",M,GUATEMALA,REINGRESO,d370553a5d7ab02de9ddd785eda8393c
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-24,"2021",M,GUATEMALA,REINGRESO,"01bd295c335ddd2aab3cfeab749d0f57"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-24,"2021",M,GUATEMALA,REINGRESO,"82cdc855577598b98c7e872e308917dc"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-24,"2021",M,GUATEMALA,REINGRESO,"8708f4ff707a2a0022d4d0d74d17b5f3"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-24,"2021",M,GUATEMALA,REINGRESO,a6c0a9c1ba30f61777f24f7e4dba876f
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-24,"2021",M,GUATEMALA,REINGRESO,b6bc76565b6bbda68c3e910809def227
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-24,"2021",M,GUATEMALA,REINGRESO,ecdfd7e7aaa0127326e116c09553ac08
INGENIERIA INDUSTRIAL,2020-11-24,"2021",M,GUATEMALA,REINGRESO,d43e7adb9f3cff693e8eada1818f9d4b
INGENIERIA QUIMICA,2020-11-24,"2021",F,GUATEMALA,REINGRESO,a34757a5abc31c7cea977d654225f7d8
INGENIERIA QUIMICA,2020-11-24,"2021",M,GUATEMALA,REINGRESO,"0e1c99ab56a75069d1b49328e807b4f3"
INGENIERIA QUIMICA,2020-11-24,"2021",M,GUATEMALA,REINGRESO,c74982143c30e0fe4a579ed0be553009
INGENIERIA AMBIENTAL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"9a0174ffd9d962bc13c8f078c2f066c4"
INGENIERIA CIVIL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"3b1ea828e99ce2e42afd1bf62e53c9f9"
INGENIERIA CIVIL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"3c002780986920df72b472e77f25ab96"
INGENIERIA CIVIL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,ab32b5365522cd316984e81f93d63caa
INGENIERIA ELECTRICA,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"005c83782fd031c0ba2989bf0ee9fd13"
INGENIERIA ELECTRICA,2020-11-25,"2021",M,GUATEMALA,REINGRESO,d80bf3124d56f3dfa4bfc0991b0b1d89
INGENIERIA ELECTRONICA,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"1e794b76d3e57bb8ef2a4325f96cd6c9"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-25,"2021",F,GUATEMALA,REINGRESO,"8a51fd90c805a0d532ac713e00003484"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"5838d85c5178e12f5c7be482bf95ca53"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"7768975e250d6763c5cb88168fc4564c"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-25,"2021",M,GUATEMALA,REINGRESO,a788c1d09e9dc64fa786d9b236c514bc
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-25,"2021",M,GUATEMALA,REINGRESO,fac24d3a1537c5be25edcff29b48f217
INGENIERIA INDUSTRIAL,2020-11-25,"2021",F,GUATEMALA,REINGRESO,cb2749e244ee0664b35bd171b5631592
INGENIERIA INDUSTRIAL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"06d93f60292b453cc127fd69ddb2f19d"
INGENIERIA INDUSTRIAL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"3888d889eb23a879648dbf22cf29179b"
INGENIERIA INDUSTRIAL,2020-11-25,"2021",M,GUATEMALA,REINGRESO,bbdd0901ac84af6aa954e8fa0dfe0d68
INGENIERIA MECANICA ELECTRICA,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"93f52cece032adc5e9647e44df42e6b7"
INGENIERIA QUIMICA,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"58dae5a711fae95a5a27cdf1d87318f2"
INGENIERIA QUIMICA,2020-11-25,"2021",M,GUATEMALA,REINGRESO,"9f3845886eee2255f61a10680774cab3"
INGENIERIA CIVIL,2020-11-26,"2021",M,GUATEMALA,REINGRESO,"5d5849bae78def1b61846859694ae5db"
INGENIERIA ELECTRONICA,2020-11-26,"2021",F,GUATEMALA,REINGRESO,"3ce7ab7ab88b65ceddef74c7cf14ffa4"
INGENIERIA ELECTRONICA,2020-11-26,"2021",F,GUATEMALA,REINGRESO,"4ed587838f64e4ac153238c045cee45f"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-26,"2021",F,GUATEMALA,REINGRESO,fd9044ac309837639a68b94d67d88d00
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-26,"2021",M,GUATEMALA,REINGRESO,"0c26de9d010a4f7f8178ec6db1859afd"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-26,"2021",M,GUATEMALA,REINGRESO,"354d760a1f6a4c0556315a2c4055607a"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-26,"2021",M,GUATEMALA,REINGRESO,eb303664ced0a12ca4cefecb8a3f4446
INGENIERIA INDUSTRIAL,2020-11-26,"2021",M,GUATEMALA,REINGRESO,"0d6cb41a17b459276742a29e6ceab450"
INGENIERIA INDUSTRIAL,2020-11-26,"2021",M,GUATEMALA,REINGRESO,"39a4d272150dbacd8ffa430d86323c6f"
INGENIERIA INDUSTRIAL,2020-11-26,"2021",M,GUATEMALA,REINGRESO,"69ed13da0bf814c36997252a44f63cee"
INGENIERIA QUIMICA,2020-11-26,"2021",F,GUATEMALA,REINGRESO,"4013342a3e36c81a4b2d5937238a7e16"
INGENIERIA QUIMICA,2020-11-26,"2021",F,GUATEMALA,REINGRESO,e328662c8dddfeef2fb19f8f99a7eac2
INGENIERIA CIVIL,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"73291ba515df03a97119ac170a170ad7"
INGENIERIA ELECTRICA,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"8202b70279b362ae980b992420d8004e"
INGENIERIA ELECTRONICA,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"790ad19245001105868abca72495e31a"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-27,"2021",F,GUATEMALA,REINGRESO,ecc4a2ee52c8c34aeea78d094594e95d
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"515a1e8f77ebc0faf87689229835fa60"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"60e4b79829f3d6d70f13880071182959"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"6226314960a506ee2aac1d6dc2a877e8"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"77cc7c5187764fa41c82a81553415f9f"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-27,"2021",M,GUATEMALA,REINGRESO,c10bd5443187c163c50ffa170de4325c
INGENIERIA INDUSTRIAL,2020-11-27,"2021",F,GUATEMALA,REINGRESO,"9a7270da8f5b8a4653546e3de8a89b5b"
INGENIERIA INDUSTRIAL,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"7e3faf4d3976d667a0a48fda0fad523e"
INGENIERIA INDUSTRIAL,2020-11-27,"2021",M,GUATEMALA,REINGRESO,c24fed2ce69235cca7820969210cd6b9
INGENIERIA INDUSTRIAL,2020-11-27,"2021",M,GUATEMALA,REINGRESO,c7ede6d8ad76ee3862966be53b822ab1
INGENIERIA MECANICA,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"54a8fdc34f74455b8848a24101b029d5"
INGENIERIA MECANICA INDUSTRIAL,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"836d0e6c6c2fc7830fb397e2f4bfde2d"
INGENIERIA QUIMICA,2020-11-27,"2021",M,GUATEMALA,REINGRESO,"7d8c735b72667e5fcf0533b031192d56"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-28,"2021",M,GUATEMALA,REINGRESO,afa7b8e4fcf2f95afebb63a1b1e24041
INGENIERIA INDUSTRIAL,2020-11-28,"2021",M,GUATEMALA,REINGRESO,"2a681f805ed6e23b293286f1c12ba957"
INGENIERIA ELECTRONICA,2020-11-29,"2021",M,GUATEMALA,REINGRESO,"445dfcacab0856c4e9cc044ee332e2b0"
INGENIERIA INDUSTRIAL,2020-11-29,"2021",M,GUATEMALA,REINGRESO,"88e529feeab3db1a241ba1689d80aad8"
INGENIERIA AMBIENTAL,2020-11-30,"2021",M,GUATEMALA,REINGRESO,d21778930a7f9de9f3370f5528c7aa56
INGENIERIA CIVIL,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"38447ef85eb2d8fbf2d6e94a5d773aa1"
INGENIERIA CIVIL,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"55624cefa7f6a1011294c8e9bca4ef39"
INGENIERIA ELECTRONICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"1d8d99450f57220338bec2aea21e1a22"
INGENIERIA ELECTRONICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"201898ea540d48480a9fe50d3ae9000c"
INGENIERIA ELECTRONICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"6150e1c2eee527ba1b7167678ecde12c"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"11e7291cc588bd5b4c0bd6dc1e89c0d6"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"6420f07edd0ac6f9b03f61c5ca383aca"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"772479747a04893de3a54f7454ac86fe"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-11-30,"2021",M,GUATEMALA,REINGRESO,de17973de964123bf3421c65db98aa7c
INGENIERIA INDUSTRIAL,2020-11-30,"2021",F,GUATEMALA,REINGRESO,"1d947092d1557a7dab02da168e8839f9"
INGENIERIA INDUSTRIAL,2020-11-30,"2021",F,GUATEMALA,REINGRESO,c3ed716a39498ee773cf496fc96208d3
INGENIERIA INDUSTRIAL,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"7b760c1084ed63898de134078186378a"
INGENIERIA MECANICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,c1d97acd567f9b9d4efd5cda26aaaede
INGENIERIA MECANICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,d7782b0a555a59d6ad5d9d9dd088032f
INGENIERIA MECANICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,fecfa3bd6b415375b73e7afbd72e3e34
INGENIERIA MECANICA ELECTRICA,2020-11-30,"2021",F,GUATEMALA,REINGRESO,"21ade357ea32544158ce79fb8d2f5da8"
INGENIERIA MECANICA ELECTRICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,"6c07650dd0c1469dbdbe0544c97d9a3a"
INGENIERIA QUIMICA,2020-11-30,"2021",F,GUATEMALA,REINGRESO,"38ceecdb0dc3c6a463a8ad4a0dac0709"
INGENIERIA QUIMICA,2020-11-30,"2021",F,GUATEMALA,REINGRESO,e92604e34ad2e1fd278ee7d6c52ae376
INGENIERIA QUIMICA,2020-11-30,"2021",M,GUATEMALA,REINGRESO,ad59037ff1abeb04c121301dcc250e0f
INGENIERIA CIVIL,2020-12-01,"2021",M,GUATEMALA,REINGRESO,f1e40823253eb382402b0bc1b8f6c92c
INGENIERIA ELECTRICA,2020-12-01,"2021",M,GUATEMALA,REINGRESO,ae556e6d176c495885346c9bd16b80ec
INGENIERIA ELECTRONICA,2020-12-01,"2021",F,GUATEMALA,REINGRESO,a26decc8088ff58664b36b795ced70d4
INGENIERIA ELECTRONICA,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"6cc5160ce95ceb63b62069c79de41280"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-01,"2021",F,GUATEMALA,REINGRESO,af28f121908eecba0b1c4d4d3201b54f
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-01,"2021",F,GUATEMALA,REINGRESO,e057351c32764f482c0b629fcd5597a3
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"218df5ecee912a1d60badc98d66c53cb"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"546b27af116164c8b3bab9a2ffeeb23b"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"596689fe0b14d464e0f10f433f1147ea"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-01,"2021",M,GUATEMALA,REINGRESO,a0c4fd157b619074bf989767fb4975b4
INGENIERIA INDUSTRIAL,2020-12-01,"2021",F,GUATEMALA,REINGRESO,b38be609a60fb478c6f31be1cb925bab
INGENIERIA INDUSTRIAL,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"53e0c804e5a9705b77749c72c41eac93"
INGENIERIA INDUSTRIAL,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"630b04de172c4a078b4c277aaa3af99e"
INGENIERIA MECANICA,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"2ad1c0a547f3869cac6b87bdbee91ffa"
INGENIERIA MECANICA ELECTRICA,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"2c4c8e0f57ae25b63430509953c03895"
INGENIERIA QUIMICA,2020-12-01,"2021",M,GUATEMALA,REINGRESO,"8f8e49298115d3a57afefb4aeebe2b18"
INGENIERIA QUIMICA,2020-12-01,"2021",M,GUATEMALA,REINGRESO,a87ad5a840e2c448a594b7e1a3df9f9a
INGENIERIA ELECTRICA,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"08cbbb657f3afc21d37355b40dca4998"
INGENIERIA ELECTRICA,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"55fc4e09c7c6f733666fc66e2f6a098f"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-02,"2021",F,GUATEMALA,REINGRESO,"1cf63e1c2338309287129f36c9195178"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"055108c9762641b9b7747c95b01a7463"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"1f5414d38436dd932d73929424331602"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"382f9a3b2fe1ec43d068ac5211e4604d"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-02,"2021",M,GUATEMALA,REINGRESO,e1df1a688b66f6bcddd81d66366a4045
INGENIERIA INDUSTRIAL,2020-12-02,"2021",F,GUATEMALA,REINGRESO,c69e9adee8f1ba4053fc61f0bb9e144e
INGENIERIA INDUSTRIAL,2020-12-02,"2021",M,GUATEMALA,REINGRESO,cdddd6907747152fbc852ac1692cd0fb
INGENIERIA INDUSTRIAL,2020-12-02,"2021",M,GUATEMALA,REINGRESO,e7705e928bfb8ae01696f1eb84fcd541
INGENIERIA QUIMICA,2020-12-02,"2021",F,GUATEMALA,REINGRESO,"4e7fe54a0f8a651ced9faf8be6e83fc0"
INGENIERIA QUIMICA,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"0babe896d6a36580116f6ee5c582c429"
INGENIERIA QUIMICA,2020-12-02,"2021",M,GUATEMALA,REINGRESO,"356253d31f330181ccad2c2a3d416fca"
INGENIERIA CIVIL,2020-12-03,"2021",M,GUATEMALA,REINGRESO,c2ac15a3dc54e62a0fdd9ef00069931b
INGENIERIA CIVIL,2020-12-03,"2021",M,GUATEMALA,REINGRESO,d4118d130c24e25998fd415207fd1a3c
INGENIERIA ELECTRONICA,2020-12-03,"2021",M,GUATEMALA,REINGRESO,"527720ff0aa2421da867cd6982b2ab0f"
INGENIERIA ELECTRONICA,2020-12-03,"2021",M,GUATEMALA,REINGRESO,"80b40fc949c02b8da9b6e812277ea778"
INGENIERIA ELECTRONICA,2020-12-03,"2021",M,GUATEMALA,REINGRESO,ed6a2e8e99eb03093c56bd40748a8da6
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-03,"2021",F,GUATEMALA,REINGRESO,e1c218316bfccc122f8bf22e14d8b611
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-03,"2021",M,GUATEMALA,REINGRESO,"3d9d194e0f66d270358c338dad910e3a"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-03,"2021",M,GUATEMALA,REINGRESO,"8275d78db93b1fc646e4bdbebcc22464"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-03,"2021",M,GUATEMALA,REINGRESO,"8d75907c5b2aa30122d3b182012319d8"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-03,"2021",M,GUATEMALA,REINGRESO,"9b4693bf2bc43dc8e46f099cbbd710a7"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-03,"2021",M,GUATEMALA,REINGRESO,f943aac757b1dd34db3a187eeb41ffd3
INGENIERIA INDUSTRIAL,2020-12-03,"2021",F,GUATEMALA,REINGRESO,e5785d5019287ee44cdaa4342fa159e3
INGENIERIA INDUSTRIAL,2020-12-03,"2021",M,GUATEMALA,REINGRESO,bdd22d23d69ef99dc56a27bef7ac7488
INGENIERIA INDUSTRIAL,2020-12-03,"2021",M,GUATEMALA,REINGRESO,f5a6dafa4f894a1aac97f21ef577c6e0
INGENIERIA QUIMICA,2020-12-03,"2021",F,GUATEMALA,REINGRESO,d433b40cbeef04950d560fe74608b7d6
INGENIERIA CIVIL,2020-12-04,"2021",M,GUATEMALA,REINGRESO,b17a436e7fba192b756d069db4c0cfda
INGENIERIA ELECTRICA,2020-12-04,"2021",M,GUATEMALA,REINGRESO,"219d6bab0dd837213a97e8abb944da2b"
INGENIERIA ELECTRICA,2020-12-04,"2021",M,GUATEMALA,REINGRESO,"2fd6da553dd367370125a4fd8eb5fe37"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-04,"2021",F,GUATEMALA,REINGRESO,"91e4c0421d15b4065467e6a49bfb0337"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-04,"2021",M,GUATEMALA,REINGRESO,c414c88b2dc7d695d586859cf380930e
INGENIERIA INDUSTRIAL,2020-12-04,"2021",M,GUATEMALA,REINGRESO,"0d93b450216cfc2d11b1508817c6ddbe"
INGENIERIA CIVIL,2020-12-05,"2021",M,GUATEMALA,REINGRESO,d73df12c52e08720ed6f04c698ab82bb
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-05,"2021",F,GUATEMALA,REINGRESO,a3a32eb9a0a26b99946e155e07753621
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-05,"2021",M,GUATEMALA,REINGRESO,"2a7aaf21be779ebd69a14faae4b21297"
INGENIERIA INDUSTRIAL,2020-12-05,"2021",M,GUATEMALA,REINGRESO,"7e862bb85d7e32ef293d7e8b81b4a2bf"
INGENIERIA MECANICA,2020-12-05,"2021",M,GUATEMALA,REINGRESO,"5ca3e365b3ab017e99f1385224b78d15"
INGENIERIA CIVIL,2020-12-06,"2021",M,GUATEMALA,REINGRESO,"419a8ebbd60c80d253fc99a102bcb99f"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-06,"2021",M,GUATEMALA,REINGRESO,"7caf07921a894399b290fef4549007e4"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-06,"2021",M,GUATEMALA,REINGRESO,c3faaa1fb317cc5bdf87864d2ffbbd4c
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-06,"2021",M,GUATEMALA,REINGRESO,fa1453508a00dca8c919679826212226
INGENIERIA INDUSTRIAL,2020-12-06,"2021",M,GUATEMALA,REINGRESO,"46460359c11f1a286ffc8b7da0ac3413"
INGENIERIA INDUSTRIAL,2020-12-06,"2021",M,GUATEMALA,REINGRESO,"99a972de6a48eb7cbaa1a3677919121f"
INGENIERIA MECANICA ELECTRICA,2020-12-06,"2021",M,GUATEMALA,REINGRESO,ac84d19a145a4fce436df5bc4fc633cd
INGENIERIA MECANICA INDUSTRIAL,2020-12-06,"2021",F,GUATEMALA,REINGRESO,"6691e7a1b3715abbb52492b49768f57e"
INGENIERIA ELECTRONICA,2020-12-07,"2021",M,GUATEMALA,REINGRESO,ae66f92328c0db435f73ba52b7563dd9
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"1f9a9015967ef263087bddbd1f2acbc9"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"5c47980a8f550c8d26372f7942d864d5"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"6d4360c4c8a4d73ac03f5347ab9584f2"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"73c5ff0a5b75da142e08c8aaa7601900"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"842ca393e8228bd31df5f045e6de1dcb"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",M,GUATEMALA,REINGRESO,"18ed269dc4e53f57a173d6ecf2e17542"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",M,GUATEMALA,REINGRESO,"4dd9bfe616d6fefe97742fcd98251846"
INGENIERIA EN CIENCIAS Y SISTEMAS,2020-12-07,"2021",M,GUATEMALA,REINGRESO,ef017e4c8416c768cadf7db120ac7ad7
INGENIERIA INDUSTRIAL,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"3a18023a87c7faf8758d2aaa1a158b09"
INGENIERIA INDUSTRIAL,2020-12-07,"2021",F,GUATEMALA,REINGRESO,"5e2cefd67ff149a43d9490ce735abcbd"
